Product ID,Product Name,Category,Store ID,Location,Expiry Date,Stock Qty,Daily Sales,Storage Temp,Date,Weather,Price,day_to_expiry,sales_velocity,risk
P001,Milk,Dairy,S001,Downtown,2025-07-28,46,2,4,2025-07-21,Rainy,11.02,7,0.043478260869565216,0
P007,Eggs,Dairy,S002,Uptown,2025-07-23,68,6,4,2025-07-17,Sunny,9.24,6,0.08823529411764706,0
P006,Salmon,Seafood,S003,Suburb,2025-07-24,58,0,2,2025-07-21,Cloudy,7.56,3,0.0,1
P006,Salmon,Seafood,S001,Downtown,2025-07-20,84,14,2,2025-07-15,Cloudy,13.0,5,0.16666666666666666,0
P004,Lettuce,Produce,S001,Downtown,2025-07-26,72,0,5,2025-07-20,Rainy,6.96,6,0.0,0
P001,Milk,Dairy,S003,Suburb,2025-07-20,68,3,4,2025-07-17,Sunny,4.81,3,0.04411764705882353,1
P005,Strawberries,Produce,S002,Uptown,2025-07-22,96,12,4,2025-07-19,Sunny,8.84,3,0.125,1
P001,Milk,Dairy,S001,Downtown,2025-07-17,83,12,4,2025-07-13,Cloudy,7.95,4,0.14457831325301204,0
P004,Lettuce,Produce,S002,Uptown,2025-07-14,43,7,5,2025-07-10,Snowy,11.73,4,0.16279069767441862,0
P006,Salmon,Seafood,S001,Downtown,2025-07-25,84,2,2,2025-07-16,Sunny,2.13,9,0.023809523809523808,0
P004,Lettuce,Produce,S003,Suburb,2025-07-24,75,3,5,2025-07-15,Cloudy,7.79,9,0.04,0
P002,Yogurt,Dairy,S002,Uptown,2025-07-21,80,13,4,2025-07-15,Rainy,10.6,6,0.1625,0
P001,Milk,Dairy,S003,Suburb,2025-07-24,69,13,4,2025-07-21,Snowy,5.98,3,0.18840579710144928,1
P002,Yogurt,Dairy,S003,Suburb,2025-07-25,30,11,4,2025-07-16,Snowy,8.66,9,0.36666666666666664,0
P007,Eggs,Dairy,S003,Suburb,2025-07-18,45,4,4,2025-07-15,Snowy,8.58,3,0.08888888888888889,1
P003,Chicken Breast,Meat,S002,Uptown,2025-07-16,43,15,2,2025-07-10,Rainy,14.84,6,0.3488372093023256,0
P008,Ground Beef,Meat,S003,Suburb,2025-07-28,92,10,2,2025-07-19,Sunny,14.19,9,0.10869565217391304,0
P005,Strawberries,Produce,S001,Downtown,2025-07-11,70,7,4,2025-07-08,Sunny,8.72,3,0.1,1
P010,Shrimp,Seafood,S003,Suburb,2025-07-16,22,3,2,2025-07-13,Rainy,5.93,3,0.13636363636363635,1
P003,Chicken Breast,Meat,S002,Uptown,2025-07-15,78,8,2,2025-07-12,Cloudy,9.56,3,0.10256410256410256,1
P002,Yogurt,Dairy,S003,Suburb,2025-07-13,63,14,4,2025-07-10,Snowy,7.64,3,0.2222222222222222,1
P010,Shrimp,Seafood,S003,Suburb,2025-07-23,68,12,2,2025-07-20,Snowy,6.54,3,0.17647058823529413,1
P006,Salmon,Seafood,S001,Downtown,2025-07-16,74,11,2,2025-07-13,Cloudy,5.55,3,0.14864864864864866,1
P001,Milk,Dairy,S002,Uptown,2025-07-22,52,8,4,2025-07-19,Sunny,10.37,3,0.15384615384615385,1
P001,Milk,Dairy,S003,Suburb,2025-07-20,68,3,4,2025-07-17,Sunny,4.81,3,0.04411764705882353,1
P003,Chicken Breast,Meat,S002,Uptown,2025-07-22,33,4,2,2025-07-16,Cloudy,13.75,6,0.12121212121212122,0
P006,Salmon,Seafood,S003,Suburb,2025-07-16,26,13,2,2025-07-10,Snowy,5.74,6,0.5,0
P006,Salmon,Seafood,S002,Uptown,2025-07-19,61,2,2,2025-07-16,Rainy,8.31,3,0.03278688524590164,1
P004,Lettuce,Produce,S002,Uptown,2025-07-14,48,2,5,2025-07-09,Rainy,11.36,5,0.041666666666666664,0
P002,Yogurt,Dairy,S002,Uptown,2025-07-31,68,5,4,2025-07-21,Cloudy,4.17,10,0.07352941176470588,0
P004,Lettuce,Produce,S002,Uptown,2025-07-20,38,10,5,2025-07-12,Rainy,8.07,8,0.2631578947368421,0
P003,Chicken Breast,Meat,S001,Downtown,2025-07-21,93,14,2,2025-07-11,Sunny,3.74,10,0.15053763440860216,0
P010,Shrimp,Seafood,S003,Suburb,2025-07-23,68,12,2,2025-07-20,Snowy,6.54,3,0.17647058823529413,1
P001,Milk,Dairy,S002,Uptown,2025-07-22,52,8,4,2025-07-19,Sunny,10.37,3,0.15384615384615385,1
P006,Salmon,Seafood,S002,Uptown,2025-07-19,61,2,2,2025-07-16,Rainy,8.31,3,0.03278688524590164,1
P008,Ground Beef,Meat,S002,Uptown,2025-07-24,67,5,2,2025-07-21,Rainy,11.47,3,0.07462686567164178,1
P006,Salmon,Seafood,S001,Downtown,2025-07-16,74,11,2,2025-07-13,Cloudy,5.55,3,0.14864864864864866,1
P008,Ground Beef,Meat,S001,Downtown,2025-07-16,65,5,2,2025-07-09,Rainy,7.1,7,0.07692307692307693,0
P005,Strawberries,Produce,S001,Downtown,2025-07-14,66,5,4,2025-07-09,Sunny,9.19,5,0.07575757575757576,0
P006,Salmon,Seafood,S001,Downtown,2025-07-12,45,11,2,2025-07-09,Cloudy,14.94,3,0.24444444444444444,1
P008,Ground Beef,Meat,S002,Uptown,2025-07-17,61,2,2,2025-07-14,Sunny,11.04,3,0.03278688524590164,1
P008,Ground Beef,Meat,S002,Uptown,2025-07-24,67,5,2,2025-07-21,Rainy,11.47,3,0.07462686567164178,1
P002,Yogurt,Dairy,S003,Suburb,2025-07-24,38,10,4,2025-07-14,Sunny,9.61,10,0.2631578947368421,0
P001,Milk,Dairy,S003,Suburb,2025-07-17,56,4,4,2025-07-14,Rainy,7.43,3,0.07142857142857142,1
P006,Salmon,Seafood,S002,Uptown,2025-07-19,61,2,2,2025-07-16,Rainy,8.31,3,0.03278688524590164,1
P004,Lettuce,Produce,S003,Suburb,2025-07-21,58,4,5,2025-07-17,Rainy,10.47,4,0.06896551724137931,0
P009,Spinach,Produce,S002,Uptown,2025-07-18,98,6,5,2025-07-15,Sunny,3.58,3,0.061224489795918366,1
